"lat","lon","created","text","language","n_followers","n_tweets","user_location"
0,0,"2014-07-08 14:56:02","here we are at Ripleycastle http","en",1804,60100,"Sandown, Isle of Wight"
53.871732,-1.695639,"2014-07-06 21:26:32","Another great day tdf http","en",86,882,"In Guiseley, in Yorkshire..."
51.556169,0.251366,"2014-09-03 12:31:24","C Froome R Porte G Thomas B Eisel M Nieve","en",705,4082,"Essex, London"
0,0,"2014-07-05 17:42:54","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","it",297,18375,"In God's Country"
53.917487,-1.934274,"2014-07-06 08:37:31","so much for up DCFC are 10 thats what TdF","en",82,717,"keighley"
53.752987,-0.305439,"2014-07-04 13:40:02","and that will be the end of the we need","en",668,18774,"Hull/Leeds"
53.995831,-1.53997,"2014-06-05 18:42:17","Epic cycling Did a of TdF stage 2 today amp","en",138,247,""
0,0,"2014-07-08 13:43:33","but this As its my first Tour de France Im","en",551,17400,"Mancuian in exile"
53.740756,-0.374954,"2014-07-05 12:03:29","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",43,1169,"Kingston Upon Hull, UK"
54.377395,-2.02597,"2014-07-05 16:34:07","Hello today was was in York I am a amp","en",1615,2662,"Darlington"
54.689935,-1.214886,"2014-06-19 13:46:26","here we are at Ripleycastle http","en",95,626,"aberystwyth"
53.599685,-1.79933,"2014-08-10 19:18:31","Another great day tdf http","tl",698,1755,"Huddersfield west Yorkshire"
51.362114,-0.199314,"2014-07-07 06:52:34","C Froome R Porte G Thomas B Eisel M Nieve","en",12,618,"London"
53.402761,-1.42056,"2014-07-06 12:53:15","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","da",278,3030,""
0,0,"2014-07-07 14:20:57","so much for up DCFC are 10 thats what TdF","en",113,95,"london"
53.387977,-2.949146,"2014-07-07 14:55:35","and that will be the end of the we need","en",324,67026,""
0,0,"2014-07-07 11:54:58","Epic cycling Did a of TdF stage 2 today amp","en",22148,8915,"Shoreditch, East London"
53.447284,-1.409674,"2014-07-06 11:56:26","but this As its my first Tour de France Im","en",551,2749,"Rotherham."
53.79425,-1.543028,"2014-07-04 08:04:39","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",5520,3330,"Leeds"
53.490819,-2.338661,"2014-07-12 19:29:30","Hello today was was in York I am a amp","en",55,382,"Salford"
53.64629,-2.31878,"2014-07-04 07:51:55","here we are at Ripleycastle http","en",31,687,"Greater Manchester"
53.44732,-2.328479,"2014-07-19 11:15:52","Another great day tdf http","fr",149,4333,"manchester england"
51.439023,-0.169492,"2014-07-06 20:56:36","C Froome R Porte G Thomas B Eisel M Nieve","en",70,543,"London"
53.648815,-1.781375,"2014-07-05 12:40:08","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",104,149,"West Yorkshire"
53.483305,-1.239831,"2014-07-08 20:19:34","so much for up DCFC are 10 thats what TdF","en",33,148,"Doncater"
53.534862,-1.854205,"2014-07-06 11:08:48","and that will be the end of the we need","en",129,1407,"Norwich, UK"
0,0,"2014-07-08 18:21:58","Epic cycling Did a of TdF stage 2 today amp","en",39,502,"Swindon"
52.189906,0.136574,"2014-06-05 15:40:51","but this As its my first Tour de France Im","en",9696,31334,"iPhone: 53.997515,-1.058790"
53.508827,-2.348388,"2014-07-07 11:28:17","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",1111,686,""
0,0,"2014-09-26 11:21:17","Hello today was was in York I am a amp","en",887,572,"University of Portsmouth, UK"
51.898789,-2.077623,"2014-07-03 18:50:22","here we are at Ripleycastle http","en",478,3120,"Cheltenham "
55.91203,-3.151435,"2014-07-06 18:56:20","Another great day tdf http","en",39,990,"Edinburgh"
51.494779,-0.15752,"2014-06-29 09:50:07","C Froome R Porte G Thomas B Eisel M Nieve","en",137,619,"51.428075,-0.087141"
53.987928,-1.549607,"2014-06-29 19:48:40","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",222,8209,"North Yorkshire UK"
53.645418,-1.838577,"2014-07-06 17:22:00","so much for up DCFC are 10 thats what TdF","en",22,400,"United Kingdom"
0,0,"2014-07-17 15:09:23","and that will be the end of the we need","en",642,3407,"Leeds, West Yorkshire"
53.501761,-1.481881,"2014-07-03 19:10:20","Epic cycling Did a of TdF stage 2 today amp","en",240,964,"snapchat - lloydy25"
51.851595,0.525518,"2014-07-07 18:58:30","but this As its my first Tour de France Im","hu",202,5683,"Essex"
50.915636,-1.520887,"2014-07-05 15:36:11","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",94,340,""
53.542416,-2.621115,"2014-07-06 15:12:59","Hello today was was in York I am a amp","hu",77,875,""
50.745481,-2.744265,"2014-07-21 19:29:19","here we are at Ripleycastle http","fr",26,211,""
52.024218,0.238059,"2014-07-07 09:54:50","Another great day tdf http","en",146,275,"UK"
51.480897,0.368608,"2014-07-07 14:22:06","C Froome R Porte G Thomas B Eisel M Nieve","en",167,889,"Essex"
53.500354,-1.432289,"2014-06-25 17:58:57","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",4573,6291,"Sheffield, UK"
0,0,"2014-07-04 14:58:24","so much for up DCFC are 10 thats what TdF","en",110,218,"Nottingham"
53.672413,-1.840954,"2014-07-05 17:22:07","and that will be the end of the we need","en",16517,25331,"Cyclist, Writer, Speaker"
51.405701,-0.062359,"2014-07-06 14:13:28","Epic cycling Did a of TdF stage 2 today amp","en",622,1370,"Croydon and South East"
0,0,"2014-07-06 13:45:16","but this As its my first Tour de France Im","en",1835,12686,"Batley"
51.50767,-0.015472,"2014-07-07 14:31:20","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",275,836,"Reading, UK"
51.915605,0.234027,"2014-07-07 22:03:14","Hello today was was in York I am a amp","en",346,7234,"Kingston / Herts / Sunderland"
52.753745,-1.599253,"2014-07-05 10:34:53","here we are at Ripleycastle http","en",87,551,""
51.914004,0.228082,"2014-07-07 09:58:46","Another great day tdf http","en",249,4868,""
53.484858,-2.239778,"2014-07-07 07:33:37","C Froome R Porte G Thomas B Eisel M Nieve","en",612,336,"Manchester, UK"
55.869308,-3.189364,"2014-07-05 13:30:06","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",486,15411,"Edinburgh, Scotland, UK"
51.289993,-2.486569,"2014-06-30 17:13:31","so much for up DCFC are 10 thats what TdF","en",4609,5140,""
51.383087,0.069574,"2014-07-01 20:03:15","and that will be the end of the we need","en",344,3720,"kent"
53.799454,-1.591941,"2014-07-04 05:45:13","Epic cycling Did a of TdF stage 2 today amp","en",5580,19200,"Leeds "
52.224087,-0.204087,"2014-07-02 07:29:40","but this As its my first Tour de France Im","en",4290,18067,"St Neots, Cambridgeshire"
50.836532,-0.768466,"2014-07-05 12:51:00","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",341,2170,"Chichester West Sussex"
0,0,"2014-07-10 15:39:40","Hello today was was in York I am a amp","ht",4592,67732,"Barnsley, S.Yorks."
50.875253,1.74354,"2014-07-23 13:06:35","here we are at Ripleycastle http","fr",284,10671,""
0,0,"2014-07-05 21:20:35","Another great day tdf http","en",31445,13010,"Australia"
53.415544,-1.424216,"2014-07-04 10:45:11","C Froome R Porte G Thomas B Eisel M Nieve","en",1141,17484,"sheffield"
54.5656,-1.363742,"2014-07-05 12:58:18","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",424,15568,"Teesside/Middlesbrough"
0,0,"2014-07-05 14:15:54","so much for up DCFC are 10 thats what TdF","en",427,2704,"Hull, East Yorkshire, UK"
53.05998,-3.00434,"2014-07-04 11:37:58","and that will be the end of the we need","en",387,10742,"Wrexham, North Wales"
54.076657,-1.394324,"2014-07-05 21:20:04","Epic cycling Did a of TdF stage 2 today amp","hu",2016,12278,"North Lincolnshire"
53.404385,-1.417586,"2014-07-06 14:54:10","but this As its my first Tour de France Im","en",106,2080,"Never never land"
50.187937,1.629735,"2014-07-10 15:35:59","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","fr",30,1758,"Saint Valery sur somme "
50.811066,-0.447869,"2014-06-18 21:53:15","Hello today was was in York I am a amp","en",1129,20921,""
53.548717,-1.565577,"2014-07-03 19:45:35","here we are at Ripleycastle http","en",156,1615,"here but mainly there"
53.954413,-1.064253,"2014-07-06 09:49:11","Another great day tdf http","en",127,1710,"York, UK"
52.312786,0.059312,"2014-06-06 12:25:01","C Froome R Porte G Thomas B Eisel M Nieve","en",155,3589,"iPhone: 51.531780,-0.123062"
53.959843,-2.019073,"2014-07-05 20:58:54","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","fr",53,83,"Bingley"
53.451849,-2.063398,"2014-07-05 08:51:16","so much for up DCFC are 10 thats what TdF","en",120,49,"crewe cheshire"
0,0,"2014-07-03 19:50:01","and that will be the end of the we need","en",471,426,"Doncaster, A1(M) JCT 36"
54.693419,-1.237636,"2014-06-28 20:20:43","Epic cycling Did a of TdF stage 2 today amp","en",585,6724,"Hartlepool, UK"
51.583695,-2.096504,"2014-07-07 07:58:34","but this As its my first Tour de France Im","en",260,37074,"Cotswolds"
53.476953,-1.082212,"2014-06-27 12:54:29","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",146,2289,"Doncaster, England"
53.414833,-1.443847,"2014-07-06 19:00:57","Hello today was was in York I am a amp","en",2475,12957,"sheffield"
51.463886,0.090559,"2014-07-08 09:16:17","here we are at Ripleycastle http","en",56,1302,"Southampton/London"
53.890631,-1.679218,"2014-07-03 19:41:15","Another great day tdf http","en",1090,1057,"France"
52.778983,-2.11292,"2014-07-05 13:36:53","C Froome R Porte G Thomas B Eisel M Nieve","en",138,817,"Sheffield"
52.341607,-0.540998,"2014-07-14 14:01:08","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",36,861,""
53.418704,-1.412427,"2014-07-06 12:13:31","so much for up DCFC are 10 thats what TdF","nl",117,533,"Shropshire"
52.201958,-0.878647,"2014-07-05 15:47:30","and that will be the end of the we need","en",163,2613,"Oxford, England"
53.647915,-1.775513,"2014-06-05 13:02:00","Epic cycling Did a of TdF stage 2 today amp","en",528,1154,"Holmfirth sur mer, Yorkshire"
54.544961,-1.59133,"2014-07-07 20:09:49","but this As its my first Tour de France Im","en",296,1317,""
51.508367,0.045949,"2014-07-07 15:41:26","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",167,3769,"iPhone: 51.531780,-0.123062"
51.604757,0.662849,"2014-07-07 18:22:53","Hello today was was in York I am a amp","und",13,878,"Hockley"
51.484733,-3.580351,"2014-07-16 15:18:13","here we are at Ripleycastle http","en",102,1254,"Cowbridge,  South Wales"
53.329279,-1.354386,"2014-07-06 10:12:01","Another great day tdf http","en",335,8758,"sheffield"
53.850944,-1.933483,"2014-07-05 12:22:55","C Froome R Porte G Thomas B Eisel M Nieve","en",13,20,""
52.173576,0.112635,"2014-07-06 11:51:20","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",42,33,""
53.98264,-1.491419,"2014-07-05 18:24:41","so much for up DCFC are 10 thats what TdF","en",26,578,"Lancashire"
55.82387,-4.283522,"2014-07-06 12:21:36","and that will be the end of the we need","en",314,14731,"Glasgow,Scotland "
53.423281,-1.54147,"2014-07-06 09:31:24","Epic cycling Did a of TdF stage 2 today amp","en",270,1712,"Dore and Totley.S17 blades"
53.569699,-1.787604,"2014-07-06 16:38:55","but this As its my first Tour de France Im","en",854,1700," uk"
0,0,"2014-09-03 20:00:21","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",247,9316,"Featherstone, West Yorkshire"
53.829408,-1.951747,"2014-07-03 18:36:59","Hello today was was in York I am a amp","en",5509,16241,"West Yorkshire"
53.796627,-1.544179,"2014-07-05 11:17:58","here we are at Ripleycastle http","en",823,55922,"Edinburgh"
53.778284,-1.055986,"2014-06-26 15:36:42","Another great day tdf http","en",12152,17916,"Selby/Manchester/London"
51.711689,-3.450207,"2014-07-17 20:39:43","C Froome R Porte G Thomas B Eisel M Nieve","en",119,1268,""
53.628688,-2.167984,"2014-07-06 13:17:13","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",920,9829,""
54.459748,-5.448459,"2014-07-12 12:42:27","so much for up DCFC are 10 thats what TdF","en",355,1936,"Northern Ireland"
52.382944,-0.005338,"2014-07-06 15:03:06","and that will be the end of the we need","en",26,1138,""
53.768047,-1.373219,"2014-07-06 17:42:57","Epic cycling Did a of TdF stage 2 today amp","en",542,8563,"Leeds"
51.877611,0.24363,"2014-06-05 11:15:15","but this As its my first Tour de France Im","und",282,1789,""
53.79966,-1.545677,"2014-07-05 08:20:32","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",1285,12613,"leeds"
0,0,"2014-07-03 09:44:56","Hello today was was in York I am a amp","en",337,945,"London, UK"
51.403218,-0.29439,"2014-06-30 10:28:48","here we are at Ripleycastle http","en",180,6962,"London"
53.802675,-1.537166,"2014-07-03 17:35:01","Another great day tdf http","en",179,431,"Leeds, UK."
53.955678,-1.137831,"2014-07-06 08:20:23","C Froome R Porte G Thomas B Eisel M Nieve","fr",120,1832,"Universal"
52.923007,-1.222159,"2014-07-20 15:06:43","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",60,1005,"I was a Derbyshire lad!!"
53.111699,-3.319756,"2014-07-12 15:42:59","so much for up DCFC are 10 thats what TdF","cy",1020,3895,"Gogledd Cymru | North Wales"
55.823914,-4.283482,"2014-06-29 11:41:28","and that will be the end of the we need","en",315,15025,"Glasgow,Scotland "
51.505887,-0.130983,"2014-07-07 17:51:12","Epic cycling Did a of TdF stage 2 today amp","en",223,17422,"london"
0,0,"2014-06-20 19:19:22","but this As its my first Tour de France Im","en",1113,9504,"England , Kent "
53.412275,-1.494305,"2014-07-06 12:02:38","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",15,40,"Sheffield"
53.360558,-1.367022,"2014-07-06 12:50:35","Hello today was was in York I am a amp","en",273,2528,"Sheffield"
53.321021,-1.312933,"2014-07-10 19:15:22","here we are at Ripleycastle http","en",1188,2185,"Killamarsh, Derbyshire"
54.162262,-2.138136,"2014-07-06 11:02:42","Another great day tdf http","en",344,1386,"Littondale, Yorkshire Dales"
52.712419,-2.794626,"2014-07-07 19:01:23","C Froome R Porte G Thomas B Eisel M Nieve","en",304,6153,"The Shire "
55.901171,-3.606908,"2014-06-17 10:33:02","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",552,18235,"West Lothian Scotland UK"
52.384345,-1.227014,"2014-07-07 09:58:24","so much for up DCFC are 10 thats what TdF","et",32,106,"halsall, ormskirk"
52.063083,1.182558,"2014-07-06 13:06:29","and that will be the end of the we need","en",31,734,"The Far East"
0,0,"2014-06-26 13:05:44","Epic cycling Did a of TdF stage 2 today amp","en",228,63,"HG1 1DB"
51.533908,-3.149405,"2014-06-05 15:40:10","but this As its my first Tour de France Im","en",543,6252,"Cardiff"
53.717384,-0.176305,"2014-07-06 11:31:48","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",480,12393,"Thorngumbald, Hull"
53.566218,-1.802611,"2014-07-06 12:54:04","Hello today was was in York I am a amp","en",1697,3403,"York, North Yorkshire"
55.035394,-1.563587,"2014-07-06 12:59:56","here we are at Ripleycastle http","en",305,2750,"Newcastle&York."
50.928938,1.863968,"2014-07-20 15:06:21","Another great day tdf http","fr",1219,42776,"Calais"
53.941791,-1.078396,"2014-07-06 11:53:44","C Froome R Porte G Thomas B Eisel M Nieve","en",116,656,"York"
54.563949,-1.244831,"2014-07-07 14:40:04","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",119,1869,"Le Yorkshire ;-) "
52.080445,-1.341809,"2014-06-03 18:45:18","so much for up DCFC are 10 thats what TdF","en",412,2571,"Solihull/Banbury/Newbury"
53.67729,-2.91713,"2014-07-06 17:58:15","and that will be the end of the we need","en",65,515,"Southport"
0,0,"2014-07-14 11:44:34","Epic cycling Did a of TdF stage 2 today amp","en",247,9034,"London / Woolwich"
53.982339,-1.543072,"2014-06-09 08:37:43","but this As its my first Tour de France Im","en",53,153,"Harrogate"
54.137459,-1.524929,"2014-07-05 16:52:20","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",756,7380,"Leeds, Manch, Macc or the M62"
53.69537,-1.530641,"2014-07-11 21:38:44","Hello today was was in York I am a amp","en",117,2757,"West Yorkshire"
55.861842,-4.030712,"2014-06-10 15:08:57","here we are at Ripleycastle http","en",418,17195,"Airdrie, Scotland"
0,0,"2014-07-04 12:19:26","Another great day tdf http","en",4508,111365,"Manchester, UK"
51.531766,-0.124296,"2014-07-07 11:53:31","C Froome R Porte G Thomas B Eisel M Nieve","et",23,239,""
53.51517,-2.203954,"2014-06-09 12:31:24","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","de",1790,11426,"manchester"
51.214854,0.27531,"2014-07-05 11:16:42","so much for up DCFC are 10 thats what TdF","en",66,1128,""
53.993909,-1.538335,"2014-07-04 14:31:04","and that will be the end of the we need","en",2563,17121,"London & Norfolk"
50.380249,-4.036327,"2014-07-05 11:54:15","Epic cycling Did a of TdF stage 2 today amp","en",445,19937,"Plymouth"
51.723517,-0.529425,"2014-07-07 19:03:15","but this As its my first Tour de France Im","en",201,2232,""
51.697533,0.109601,"2014-07-07 13:55:52","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",641,1764,"Epping, Essex"
51.519985,-0.083442,"2014-07-07 11:01:23","Hello today was was in York I am a amp","en",174,203,"London"
51.457796,-2.616641,"2014-07-03 21:52:50","here we are at Ripleycastle http","en",576,1999,"Bristol"
53.479862,-1.421291,"2014-07-08 06:44:11","Another great day tdf http","en",307,3945,"Wentworth "
53.403028,-1.420598,"2014-07-06 10:29:18","C Froome R Porte G Thomas B Eisel M Nieve","en",23,30,"Sheffield,UK"
54.482835,-1.556618,"2014-07-05 14:22:24","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",246,4602,"Croft-on-tees"
51.07056,-0.363985,"2014-07-05 10:47:40","so much for up DCFC are 10 thats what TdF","en",253,20395,"Horsham, West Sussex"
53.4998,-2.362079,"2014-06-06 17:50:56","and that will be the end of the we need","en",374,3320,"Manchester"
54.013014,-1.539868,"2014-06-24 17:44:35","Epic cycling Did a of TdF stage 2 today amp","en",257,2673,"Yorkshire"
0,0,"2014-07-04 13:31:21","but this As its my first Tour de France Im","en",1107,4021,"Nelson Lancashire UK"
51.515009,-0.308436,"2014-06-11 07:33:10","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",1548,389,"London"
51.699532,0.11195,"2014-07-07 15:22:10","Hello today was was in York I am a amp","en",710,2944,"London"
53.571624,-1.80867,"2014-06-05 19:51:35","here we are at Ripleycastle http","en",481,8666,"JUNGLE!!"
55.823884,-4.283497,"2014-07-08 15:51:30","Another great day tdf http","en",313,14765,"Glasgow,Scotland "
51.535428,-0.013309,"2014-07-06 09:28:24","C Froome R Porte G Thomas B Eisel M Nieve","en",105,242,"Newham, London, UK"
51.472337,-3.190369,"2014-07-12 12:40:41","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","hu",567,19200,"Cardiff, Wales."
51.501059,-0.128548,"2014-07-07 14:35:38","so much for up DCFC are 10 thats what TdF","en",410,2152,"Born in Brum,Living in London "
51.425802,-0.201098,"2014-07-07 18:03:13","and that will be the end of the we need","en",412,5378,"Mole Valley. Surrey"
50.879803,-0.008137,"2014-07-05 13:42:47","Epic cycling Did a of TdF stage 2 today amp","en",68,1632,""
53.949994,-1.106255,"2014-07-02 14:54:54","but this As its my first Tour de France Im","en",277,1198,"York, UK"
0,0,"2014-07-03 19:11:12","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",1379,7171,"Sheffield"
55.948398,-3.211406,"2014-07-07 11:06:02","Hello today was was in York I am a amp","en",1019,6867,"Edinburgh, Scotland"
54.00288,-1.553052,"2014-07-05 10:25:56","here we are at Ripleycastle http","en",419,6423,"Harrogate/York"
52.82215,-1.627112,"2014-09-27 15:52:35","Another great day tdf http","en",325,1389,"Cheltenham"
0,0,"2014-07-06 15:17:38","C Froome R Porte G Thomas B Eisel M Nieve","en",532,8875,"Manchester"
55.82391,-4.283475,"2014-07-14 16:19:38","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",315,14761,"Glasgow,Scotland "
51.544488,-0.21253,"2014-07-06 11:52:29","so much for up DCFC are 10 thats what TdF","en",35,920,"London, UK"
55.065492,-1.518628,"2014-07-05 10:12:30","and that will be the end of the we need","en",116,5074,"Newcastle upon Tyne. England"
0,0,"2014-08-27 00:45:01","Epic cycling Did a of TdF stage 2 today amp","en",1203,10029,"England , Kent "
0,0,"2014-07-20 15:07:50","but this As its my first Tour de France Im","en",188,8646,"London, UK"
53.868947,-1.658499,"2014-06-08 08:25:32","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",227,247,"Harrogate, UK"
53.415848,-1.493256,"2014-07-06 10:26:18","Hello today was was in York I am a amp","fr",176,9312,"I always have a choice"
53.961771,-1.079734,"2014-07-06 10:12:20","here we are at Ripleycastle http","fr",1192,24191,"Yorkshire via Devon, FL, Notts"
53.80613,-1.568672,"2014-07-05 06:49:14","Another great day tdf http","en",83,1148,""
53.646196,-1.780574,"2014-07-06 15:30:28","C Froome R Porte G Thomas B Eisel M Nieve","en",414,8790,"Traveller "
54.402419,-1.731343,"2014-07-05 02:21:12","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",58,1355,"Richmond, North Yorkshire"
52.582065,-1.976032,"2014-07-04 20:46:10","so much for up DCFC are 10 thats what TdF","en",602,9125,"Walsall"
0,0,"2014-06-08 17:25:08","and that will be the end of the we need","en",171,5066,"Here, There and Everywhere"
52.6379,-1.1404,"2014-07-08 03:43:52","Epic cycling Did a of TdF stage 2 today amp","en",106,12850,"Leicester,  United Kingdom"
53.345129,-3.092969,"2014-07-06 15:08:49","but this As its my first Tour de France Im","en",38,412,""
53.479778,-2.95174,"2014-07-08 11:09:14","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",156,258,"liverpool"
50.725631,-1.897307,"2014-07-21 10:07:24","Hello today was was in York I am a amp","en",116,2562,"Bournemouth"
53.846684,-0.426989,"2014-07-04 15:55:39","here we are at Ripleycastle http","en",11,9,"Beverley"
53.808795,-1.552092,"2014-07-06 17:23:16","Another great day tdf http","en",86,2228,"Strasbourg, France"
52.474427,-1.762259,"2014-06-18 18:44:16","C Froome R Porte G Thomas B Eisel M Nieve","en",662,8927,""
53.39947,-1.575367,"2014-07-03 22:24:09","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",7937,30856,", Sheffield GB"
53.950572,-1.085096,"2014-07-06 18:14:35","so much for up DCFC are 10 thats what TdF","en",1186,3997,"York"
51.890732,0.555745,"2014-07-07 06:44:40","and that will be the end of the we need","en",2041,14054,"trinovantetrading@gmail.com"
53.626574,-1.787176,"2014-07-05 13:47:24","Epic cycling Did a of TdF stage 2 today amp","en",414,8763,"Traveller "
51.669206,-1.338574,"2014-06-08 13:39:11","but this As its my first Tour de France Im","en",386,8132,"Oxford"
52.460642,0.294593,"2014-07-08 19:30:54","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",310,34434,"Ely, Cambridgeshire "
52.065377,1.136441,"2014-07-11 21:57:35","Hello today was was in York I am a amp","en",266,751,"Ipswich, UK"
51.793696,0.456687,"2014-07-07 11:36:58","here we are at Ripleycastle http","en",313,1685,"Pelaw, Gateshead"
53.474091,-1.640661,"2014-07-06 19:16:06","Another great day tdf http","en",390,19269,"Rotherham UK"
51.583051,0.020314,"2014-07-07 08:17:13","C Froome R Porte G Thomas B Eisel M Nieve","en",611,4443,"Wanstead, London"
53.414846,-2.985105,"2014-06-25 14:10:17","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",313,1772,"Malaysia"
53.561623,-2.074875,"2014-06-29 21:04:47","so much for up DCFC are 10 thats what TdF","en",1251,38685,"Oldham"
51.47239,-3.190391,"2014-07-14 12:19:29","and that will be the end of the we need","en",568,19228,"Cardiff, Wales."
0,0,"2014-06-24 15:31:02","Epic cycling Did a of TdF stage 2 today amp","en",246,3034,"M21"
53.379611,-1.469696,"2014-07-05 15:27:14","but this As its my first Tour de France Im","fr",463,566,"Chesterfield Derbyshire"
53.878986,-1.706668,"2014-07-05 07:35:19","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",46,504,"Sheffield"
53.823782,-1.672929,"2014-07-05 12:08:54","Hello today was was in York I am a amp","fr",459,10411,"leeds"
50.520629,1.605332,"2014-07-07 16:04:23","here we are at Ripleycastle http","fr",1967,80973,"Justin is my life. "
53.399118,-1.426338,"2014-07-06 10:31:45","Another great day tdf http","en",1145,5402,"rus in urbe"
53.698751,-2.691348,"2014-07-07 14:53:24","C Froome R Porte G Thomas B Eisel M Nieve","en",323,2986,"preston"
51.789688,0.641414,"2014-07-06 14:21:10","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",199,2578,"Greenwich, London UK"
